R0000100,R0173600,R0214800,H0012400,H0012500,R0214700,R0217900,T4120500
1591,1,1,0,2,0,14000,-998
1592,5,2,0,1,0,14000,20
1593,5,2,1,2,0,22595,25
1594,1,1,0,3,0,8000,NA
1595,1,1,0,3,0,24000,21
1596,6,2,1,3,0,2670,18
1597,1,1,0,1,0,15000,28
1598,5,2,1,2,0,15000,27
1599,5,2,1,4,0,11962,24
1600,6,2,1,3,0,5435,16
1601,1,1,0,1,0,15000,NA
1602,1,1,0,1,0,15000,19
1603,1,1,0,2,0,16889,29
1604,1,1,NA,NA,0,13306,NA
1605,5,2,1,3,0,12586,24
1606,5,2,NA,NA,0,5759,NA
1607,5,2,0,2,0,7599,-998
1608,5,2,0,1,0,8075,NA
1609,5,2,1,1,0,9600,18
1610,5,2,0,2,0,6920,18
1611,1,1,NA,NA,0,20000,NA
1612,1,1,1,2,0,11200,25
1613,1,1,NA,NA,0,11200,NA
1614,1,1,NA,NA,0,10000,NA
1615,5,2,NA,NA,0,10000,NA
1616,5,2,1,1,0,15000,21
1617,5,2,1,1,0,20000,22
1618,1,1,1,2,0,19000,-998
1619,1,1,0,2,0,50000,NA
1620,1,1,NA,NA,0,4840,NA
1621,5,2,1,2,0,50000,-998
1622,1,1,1,2,0,23000,31
1623,5,2,1,1,0,50000,26
1624,5,2,1,1,0,NA,-998
1625,5,2,1,1,0,NA,NA
1626,1,1,0,1,0,23000,-998
1627,1,1,1,2,0,23000,-998
1628,1,1,0,1,0,16800,-998
1629,5,2,0,3,0,16800,22
1630,1,1,1,2,0,16800,31
1631,1,1,0,1,0,23000,18
1632,1,1,1,1,0,23000,30
1633,5,2,1,2,0,23000,-998
1634,5,2,1,3,0,20958,31
1635,1,1,0,4,0,20958,38
1636,1,1,0,3,0,20958,36
1637,1,1,0,2,0,30000,-998
1638,5,2,1,1,0,16500,20
1639,5,2,0,1,0,50000,27
1640,5,2,1,1,0,6085,27
1641,4,1,1,1,0,11000,23
1642,8,2,0,2,0,6000,17
1643,4,1,0,2,0,5000,29
1644,4,1,1,2,0,12000,26
1645,4,1,1,3,0,12000,NA
1646,8,2,1,1,0,NA,-998
1647,6,2,0,5,0,6200,-998
1648,6,2,1,3,0,6200,17
1649,8,2,1,1,0,NA,23
1650,8,2,0,2,0,NA,20
1651,4,1,0,3,0,24000,21
1652,5,2,1,1,0,NA,NA
1653,1,1,0,3,0,45000,-998
1654,1,1,0,4,0,NA,NA
1655,5,2,0,2,0,NA,28
1656,5,2,1,3,0,60000,26
1657,5,2,1,3,0,60000,30
1658,5,2,1,2,0,60000,32
1659,1,1,1,2,0,60000,-998
1660,1,1,0,1,0,NA,NA
1661,5,2,NA,NA,0,NA,22
1662,5,2,1,1,0,NA,19
1663,4,1,1,1,0,NA,20
1664,4,1,1,3,0,NA,-998
1665,4,1,NA,NA,0,NA,NA
1666,8,2,1,3,0,NA,23
1667,1,1,0,4,0,8000,NA
1668,4,1,1,2,0,24000,-998
1669,4,1,NA,NA,0,24000,NA
1670,1,1,1,2,0,45000,35
1671,5,2,NA,NA,0,34000,NA
1672,1,1,1,1,0,34000,-998
1673,1,1,0,2,0,24000,-998
1674,5,2,0,4,0,24000,18
1675,5,2,1,1,0,NA,31
1676,5,2,1,2,0,NA,25
1677,1,1,0,1,0,NA,28
1678,1,1,NA,NA,0,45000,NA
1679,1,1,NA,NA,0,45000,NA
1680,5,2,0,1,0,NA,-998
1681,1,1,0,2,0,NA,28
1682,1,1,1,3,0,18000,26
1683,5,2,1,3,0,NA,25
1684,1,1,NA,NA,0,9000,NA
1685,7,2,0,1,1,7032,42
1686,3,1,0,3,1,7032,-998
1687,3,1,0,3,1,7032,-998
1688,7,2,NA,NA,1,1050,NA
1689,8,2,0,2,0,NA,25
1690,8,2,0,2,0,NA,NA
1691,8,2,1,5,0,NA,NA
1692,4,1,NA,NA,0,NA,NA
1693,4,1,1,1,0,NA,NA
1694,8,2,NA,NA,0,NA,NA
1695,4,1,NA,NA,0,5760,23
1696,4,1,0,2,0,NA,33
1697,4,1,NA,NA,0,NA,NA
1698,4,1,1,4,0,NA,22
1699,8,2,NA,NA,0,NA,NA
1700,4,1,0,2,0,NA,NA
1701,4,1,NA,NA,0,NA,NA
1702,4,1,0,2,0,NA,29
1703,8,2,1,1,0,24000,-998
1704,8,2,1,2,0,NA,17
1705,8,2,NA,NA,0,NA,NA
1706,1,1,0,1,0,25000,-998
1707,5,2,1,1,0,NA,-998
1708,1,1,1,1,0,NA,39
1709,1,1,NA,NA,0,NA,NA
1710,1,1,1,1,0,NA,-998
1711,5,2,1,1,0,20000,-998
1712,5,2,1,2,0,20000,-998
1713,7,2,NA,NA,1,27000,-998
1714,7,2,1,3,1,200,35
1715,3,1,NA,NA,1,22000,NA
1716,7,2,NA,NA,1,34000,NA
1717,3,1,0,3,1,34000,23
1718,3,1,0,1,1,34000,31
1719,7,2,0,2,1,55000,NA
1720,7,2,0,2,1,55000,20
1721,4,1,0,3,0,37000,37
1722,8,2,NA,NA,0,10000,NA
1723,8,2,0,1,0,10000,NA
1724,4,1,0,2,0,37000,31
1725,5,2,0,4,0,15000,25
1726,5,2,NA,NA,0,12000,NA
1727,5,2,0,1,0,12000,37
1728,4,1,0,1,0,20000,NA
1729,8,2,0,3,0,9700,16
1730,5,2,1,2,0,14000,32
1731,1,1,NA,NA,0,15000,NA
1732,5,2,1,1,0,14000,NA
1733,5,2,0,1,0,14000,26
1734,5,2,0,1,0,NA,23
1735,5,2,0,2,0,20000,27
1736,5,2,1,2,0,20000,32
1737,8,2,1,1,0,10000,41
1738,5,2,NA,NA,0,6000,NA
1739,1,1,0,2,0,40000,37
1740,5,2,1,3,0,40000,40
1741,1,1,NA,NA,0,14000,-998
1742,1,1,1,1,0,18000,40
1743,1,1,NA,NA,0,4800,NA
1744,1,1,0,2,0,32000,-998
1745,5,2,1,1,0,38000,27
1746,1,1,1,3,0,3715,37
1747,5,2,0,2,0,1124,21
1748,1,1,NA,NA,0,35000,NA
1749,7,2,NA,NA,1,NA,22
1750,4,1,1,3,0,7000,24
1751,8,2,0,1,0,7000,21
1752,8,2,1,4,0,7000,NA
1753,3,1,NA,NA,1,9000,NA
1754,7,2,1,1,1,9000,18
1755,3,1,0,1,1,9000,19
1756,4,1,0,2,0,9600,-998
1757,7,2,NA,NA,1,4728,NA
1758,7,2,1,1,1,25000,30
1759,3,1,1,2,1,NA,23
1760,7,2,0,2,1,NA,16
1761,1,1,NA,NA,0,NA,NA
1762,1,1,0,2,0,NA,NA
1763,4,1,1,1,0,17596,44
1764,1,1,0,2,0,38000,NA
1765,1,1,1,3,0,60000,45
1766,5,2,0,2,0,4022,23
1767,1,1,NA,NA,0,60000,NA
1768,5,2,1,2,0,20000,28
1769,5,2,1,2,0,20000,20
1770,5,2,1,3,0,19000,19
1771,1,1,NA,NA,0,19000,NA
1772,2,1,0,3,0,3360,-998
1773,1,1,NA,NA,0,8000,NA
1774,8,2,1,4,0,21756,-998
1775,8,2,0,2,0,27000,18
1776,5,2,0,3,0,12000,29
1777,1,1,NA,NA,0,12000,NA
1778,5,2,0,2,0,12312,19
1779,4,1,0,1,0,18000,32
1780,1,1,0,2,0,16000,24
1781,1,1,0,1,0,4000,24
1782,4,1,NA,NA,0,NA,-998
1783,1,1,0,1,0,6000,NA
1784,1,1,1,1,0,5000,27
1785,5,2,0,2,0,6000,18
1786,5,2,0,2,0,6000,19
1787,5,2,1,2,0,10000,-998
1788,1,1,1,2,0,18000,-998
1789,5,2,NA,NA,0,16500,NA
1790,1,1,0,3,0,8800,-998
1791,1,1,NA,NA,0,27000,NA
1792,1,1,0,1,0,24000,28
1793,5,2,0,1,0,NA,NA
1794,5,2,1,1,0,25680,23
1795,5,2,1,2,0,18700,19
1796,1,1,0,4,0,22000,-998
1797,5,2,0,2,0,0,16
1798,5,2,1,2,0,21200,-998
1799,5,2,0,2,0,22100,42
1800,5,2,1,3,0,35000,-998
1801,5,2,NA,NA,0,NA,NA
1802,1,1,1,3,0,40000,-998
1803,5,2,0,1,0,22000,30
1804,5,2,1,2,0,40000,26
1805,1,1,0,4,0,40000,29
1806,1,1,1,1,0,NA,NA
1807,4,1,NA,NA,0,29000,25
1808,5,2,1,1,0,3840,23
1809,1,1,0,1,0,75001,NA
1810,1,1,0,1,0,75001,27
1811,4,1,1,3,0,8400,16
1812,4,1,1,2,0,8400,23
1813,1,1,1,5,0,16459,26
1814,8,2,NA,NA,0,NA,NA
1815,8,2,1,4,0,57000,17
1816,8,2,0,3,0,6000,17
1817,4,1,0,2,0,NA,-998
1818,8,2,NA,NA,0,NA,NA
1819,4,1,1,1,0,22000,22
1820,4,1,0,1,0,8000,28
1821,4,1,NA,NA,0,8000,NA
1822,4,1,0,4,0,10000,30
1823,4,1,1,3,0,10000,16
1824,8,2,0,2,0,20300,17
1825,8,2,1,4,0,NA,16
1826,6,2,1,2,0,5600,20
1827,2,1,0,1,0,4582,20
1828,6,2,0,1,0,4582,19
1829,7,2,0,1,1,700,16
1830,3,1,1,3,1,700,NA
1831,7,2,1,3,1,900,NA
1832,7,2,0,3,1,700,NA
1833,8,2,0,1,0,7800,17
1834,8,2,NA,NA,0,3560,NA
1835,4,1,0,4,0,5000,18
1836,4,1,0,1,0,5000,24
1837,4,1,1,2,0,5000,24
1838,8,2,1,3,0,12000,20
1839,8,2,1,3,0,12000,20
1840,8,2,1,3,0,8000,17
1841,5,2,0,1,0,25000,-998
1842,5,2,0,3,0,NA,32
1843,1,1,0,1,0,NA,NA
1844,5,2,1,2,0,11270,NA
1845,1,1,NA,NA,0,2000,NA
1846,2,1,1,4,0,75001,35
1847,8,2,1,1,0,7000,19
1848,8,2,0,1,0,20000,23
1849,5,2,0,3,0,NA,NA
1850,1,1,NA,NA,0,NA,NA
1851,4,1,1,3,0,NA,-998
1852,5,2,NA,NA,0,NA,NA
1853,5,2,0,2,0,NA,24
1854,1,1,0,1,0,NA,37
1855,1,1,1,2,0,25000,47
1856,5,2,1,3,0,7000,NA
1857,1,1,NA,NA,0,45000,NA
1858,5,2,0,1,0,45000,24
1859,1,1,0,1,0,16420,28
1860,5,2,1,1,0,16420,-998
1861,5,2,NA,NA,0,NA,NA
1862,5,2,0,1,0,5000,20
1863,5,2,0,1,0,19784,28
1864,1,1,NA,NA,0,5008,NA
1865,5,2,1,4,0,3700,24
1866,5,2,1,3,0,19000,27
1867,1,1,1,4,0,19000,30
1868,5,2,0,3,0,25000,23
1869,1,1,0,3,0,25000,27
1870,5,2,0,1,0,10240,23
1871,5,2,NA,NA,0,20000,-998
1872,1,1,0,2,0,23496,24
1873,1,1,0,4,0,23496,-998
1874,1,1,NA,NA,0,20000,NA
1875,1,1,1,2,0,22000,31
1876,5,2,0,3,0,NA,19
1877,1,1,NA,NA,0,NA,NA
1878,5,2,1,3,0,17530,19
1879,5,2,NA,NA,0,23000,NA
1880,5,2,1,2,0,27000,28
1881,1,1,0,2,0,27000,35
1882,1,1,NA,NA,0,15000,NA
1883,5,2,0,1,0,15000,-998
1884,1,1,0,2,0,40000,18
