R0000100,R0173600,R0214800,H0012400,H0012500,R0214700,R0217900,T4120500
3275,1,1,1,2,0,NA,-998
3276,5,2,1,2,0,NA,-998
3277,2,1,0,2,0,25000,NA
3278,6,2,1,2,0,6000,33
3279,2,1,0,3,0,6000,-998
3280,6,2,1,4,0,6000,35
3281,4,1,0,1,0,32000,-998
3282,4,1,0,2,0,14500,33
3283,4,1,NA,NA,0,14500,NA
3284,1,1,1,1,0,19000,-998
3285,8,2,1,4,0,20000,-998
3286,8,2,0,2,0,NA,NA
3287,5,2,1,2,0,12500,19
3288,8,2,NA,NA,0,7760,NA
3289,1,1,0,1,0,27000,NA
3290,1,1,1,1,0,27000,28
3291,5,2,0,2,0,27000,29
3292,5,2,NA,NA,0,NA,NA
3293,5,2,1,3,0,20550,NA
3294,5,2,1,2,0,NA,-998
3295,5,2,NA,NA,0,14000,NA
3296,1,1,NA,NA,0,6500,NA
3297,3,1,0,2,1,18000,-998
3298,8,2,NA,NA,0,5028,NA
3299,8,2,0,2,0,17000,NA
3300,8,2,0,1,0,12000,NA
3301,4,1,NA,NA,0,12000,-998
3302,4,1,0,2,0,12000,-998
3303,5,2,0,1,0,11464,23
3304,8,2,0,2,0,NA,32
3305,8,2,0,2,0,NA,-998
3306,7,2,1,5,1,4488,17
3307,3,1,0,2,1,36000,-998
3308,7,2,1,3,1,34500,-998
3309,7,2,1,1,1,30000,32
3310,3,1,0,2,1,5770,16
3311,3,1,1,3,1,14000,16
3312,7,2,1,3,1,13500,20
3313,2,1,0,4,0,13000,-998
3314,2,1,NA,NA,0,13000,NA
3315,7,2,1,3,1,NA,15
3316,7,2,1,2,1,17550,14
3317,7,2,1,2,1,17550,16
3318,3,1,NA,NA,1,17550,NA
3319,2,1,0,1,0,10060,30
3320,6,2,NA,NA,0,10060,NA
3321,6,2,0,4,0,10060,18
3322,7,2,1,2,1,2700,33
3323,3,1,NA,NA,1,2700,NA
3324,3,1,1,2,1,13000,22
3325,7,2,1,4,1,2700,20
3326,3,1,NA,NA,1,12000,NA
3327,3,1,NA,NA,1,NA,22
3328,1,1,NA,NA,0,25000,NA
3329,1,1,0,1,0,24000,25
3330,1,1,0,1,0,22000,30
3331,1,1,1,1,0,12000,19
3332,5,2,1,2,0,19000,-998
3333,1,1,1,1,0,NA,26
3334,3,1,NA,NA,1,20000,22
3335,1,1,NA,NA,0,7200,NA
3336,1,1,NA,NA,0,32000,NA
3337,5,2,1,1,0,40000,-998
3338,5,2,1,1,0,20000,33
3339,5,2,NA,NA,0,20000,NA
3340,1,1,NA,NA,0,0,NA
3341,5,2,1,1,0,18000,36
3342,5,2,1,3,0,NA,31
3343,5,2,0,2,0,15000,-998
3344,1,1,NA,NA,0,24000,NA
3345,5,2,1,3,0,21000,37
3346,1,1,0,1,0,21000,-998
3347,5,2,0,1,0,32000,26
3348,5,2,0,3,0,32000,NA
3349,5,2,NA,NA,0,32000,NA
3350,5,2,1,3,0,32000,29
3351,1,1,0,5,0,25000,28
3352,5,2,1,1,0,25000,30
3353,1,1,1,2,0,26000,-998
3354,1,1,0,1,0,26000,NA
3355,5,2,1,1,0,7500,25
3356,1,1,1,3,0,1300,21
3357,1,1,0,1,0,30000,28
3358,5,2,0,2,0,2500,NA
3359,1,1,0,1,0,30000,-998
3360,5,2,0,1,0,25000,28
3361,1,1,0,3,0,25000,34
3362,5,2,1,3,0,5000,23
3363,5,2,1,1,0,NA,24
3364,5,2,1,1,0,NA,NA
3365,5,2,1,1,0,NA,26
3366,1,1,NA,NA,0,30000,NA
3367,5,2,1,1,0,NA,-998
3368,5,2,1,2,0,NA,-998
3369,5,2,1,4,0,55000,29
3370,5,2,0,2,0,NA,30
3371,7,2,0,3,1,12000,17
3372,1,1,0,3,0,25000,-998
3373,5,2,NA,NA,0,25000,NA
3374,1,1,1,2,0,25000,35
3375,1,1,1,4,0,50000,29
3376,1,1,0,2,0,50000,NA
3377,5,2,NA,NA,0,50000,NA
3378,5,2,1,1,0,25000,-998
3379,1,1,0,2,0,25000,33
3380,1,1,0,1,0,50000,34
3381,1,1,0,1,0,50000,22
3382,1,1,NA,NA,0,25000,NA
3383,5,2,NA,NA,0,25000,NA
3384,5,2,NA,NA,0,40000,NA
3385,1,1,0,1,0,40000,23
3386,5,2,NA,NA,0,40000,NA
3387,7,2,0,2,1,28000,24
3388,3,1,NA,NA,1,28000,NA
3389,1,1,1,1,0,15000,33
3390,3,1,1,1,1,50000,44
3391,3,1,1,1,1,30000,38
3392,3,1,0,1,1,26000,20
3393,7,2,1,2,1,40000,32
3394,3,1,1,3,1,35000,26
3395,2,1,NA,NA,0,10000,NA
3396,1,1,NA,NA,0,25000,NA
3397,5,2,1,1,0,25000,NA
3398,1,1,NA,NA,0,NA,NA
3399,1,1,0,1,0,NA,30
3400,1,1,0,2,0,NA,31
3401,1,1,0,2,0,33000,27
3402,5,2,1,2,0,33000,34
3403,1,1,0,3,0,5000,27
3404,1,1,NA,NA,0,19000,NA
3405,1,1,0,3,0,19000,-998
3406,5,2,0,2,0,35000,-998
3407,5,2,0,2,0,48000,NA
3408,5,2,NA,NA,0,26000,NA
3409,5,2,NA,NA,0,24000,NA
3410,1,1,1,2,0,40000,-998
3411,5,2,NA,NA,0,2000,NA
3412,5,2,1,5,0,NA,NA
3413,5,2,1,1,0,27500,22
3414,1,1,1,1,0,44000,NA
3415,1,1,NA,NA,0,44000,NA
3416,5,2,1,1,0,15000,39
3417,1,1,0,1,0,15000,30
3418,5,2,0,2,0,15000,29
3419,5,2,0,3,0,20000,-998
3420,1,1,1,2,0,40000,26
3421,5,2,1,1,0,35000,19
3422,5,2,1,2,0,35000,35
3423,5,2,0,2,0,25000,30
3424,5,2,1,3,0,4000,27
3425,1,1,0,2,0,4000,NA
3426,5,2,1,1,0,NA,27
3427,5,2,NA,NA,0,NA,NA
3428,5,2,0,1,0,53000,27
3429,5,2,0,3,0,6100,25
3430,5,2,1,2,0,53000,24
3431,1,1,0,3,0,50000,23
3432,5,2,1,2,0,30000,32
3433,5,2,1,2,0,60000,26
3434,8,2,1,2,0,NA,35
3435,8,2,0,3,0,NA,21
3436,8,2,0,1,0,10000,23
3437,4,1,NA,NA,0,10000,NA
3438,8,2,0,3,0,1000,20
3439,1,1,NA,NA,0,NA,NA
3440,1,1,0,2,0,4000,26
3441,1,1,1,2,0,NA,32
3442,5,2,1,1,0,20000,NA
3443,1,1,NA,NA,0,20000,NA
3444,5,2,0,4,0,9300,18
3445,5,2,1,1,0,NA,18
3446,5,2,0,2,0,8820,NA
3447,7,2,1,2,1,12500,16
3448,5,2,NA,NA,0,6400,NA
3449,1,1,1,3,0,75001,NA
3450,1,1,1,3,0,75001,NA
3451,5,2,1,4,0,42500,20
3452,5,2,1,2,0,24000,26
3453,1,1,0,3,0,27500,25
3454,5,2,0,1,0,59000,25
3455,1,1,0,1,0,25000,NA
3456,5,2,1,3,0,25000,29
3457,5,2,1,3,0,25000,26
3458,5,2,1,1,0,25000,27
3459,5,2,0,1,0,20000,30
3460,1,1,0,2,0,20000,-998
3461,1,1,0,2,0,24000,34
3462,1,1,NA,NA,0,24000,NA
3463,1,1,0,2,0,24000,-998
3464,1,1,1,1,0,20000,-998
3465,5,2,0,1,0,20000,23
3466,1,1,0,1,0,20000,-998
3467,5,2,1,1,0,40000,31
3468,1,1,1,1,0,60000,-998
3469,5,2,1,2,0,15000,31
3470,1,1,0,2,0,17000,NA
3471,1,1,0,4,0,17000,21
3472,1,1,1,1,0,NA,NA
3473,1,1,0,1,0,NA,27
3474,1,1,1,2,0,NA,22
3475,5,2,1,2,0,2000,22
3476,5,2,1,2,0,18000,17
3477,5,2,1,2,0,17000,NA
3478,1,1,NA,NA,0,34000,NA
3479,1,1,0,1,0,34000,36
3480,5,2,NA,NA,0,20000,NA
3481,5,2,1,2,0,15500,22
3482,1,1,0,1,0,17000,30
3483,1,1,0,4,0,NA,24
3484,1,1,NA,NA,0,NA,NA
3485,5,2,1,2,0,24500,NA
3486,5,2,1,2,0,28000,24
3487,5,2,1,1,0,28000,19
3488,5,2,NA,NA,0,28000,NA
3489,1,1,0,2,0,16000,36
3490,1,1,NA,NA,0,NA,NA
3491,5,2,0,2,0,30000,24
3492,1,1,0,3,0,9713,26
3493,1,1,1,2,0,15800,-998
3494,1,1,1,3,0,33040,21
3495,1,1,1,1,0,16000,28
3496,5,2,0,1,0,22000,-998
3497,1,1,1,3,0,26000,35
3498,5,2,0,3,0,37000,NA
3499,1,1,1,2,0,11050,NA
3500,8,2,NA,NA,0,16000,NA
3501,5,2,NA,NA,0,17800,NA
3502,8,2,1,3,0,23904,31
3503,1,1,1,1,0,17000,NA
3504,5,2,NA,NA,0,18000,NA
3505,5,2,1,2,0,34000,36
3506,5,2,1,2,0,34000,29
3507,1,1,NA,NA,0,34000,NA
3508,5,2,1,2,0,20000,-998
3509,1,1,0,4,0,30000,21
3510,1,1,NA,NA,0,12000,NA
3511,5,2,1,1,0,20000,24
3512,5,2,0,4,0,18500,38
3513,1,1,0,3,0,23000,25
3514,5,2,0,4,0,62000,25
3515,1,1,1,1,0,3526,29
3516,1,1,0,1,0,20000,-998
3517,1,1,NA,NA,0,20000,NA
3518,5,2,1,3,0,17296,NA
3519,5,2,1,3,0,29000,33
3520,1,1,0,2,0,29800,-998
3521,1,1,0,2,0,29800,26
3522,5,2,0,2,0,17000,32
3523,5,2,0,2,0,NA,26
3524,5,2,0,2,0,10000,26
3525,1,1,NA,NA,0,27000,NA
3526,1,1,NA,NA,0,39000,NA
3527,5,2,1,2,0,39000,24
3528,1,1,0,3,0,39000,NA
3529,1,1,NA,NA,0,39000,NA
3530,1,1,1,2,0,34000,27
3531,5,2,1,1,0,50000,28
3532,5,2,1,3,0,NA,23
3533,2,1,0,1,0,17178,28
3534,4,1,1,2,0,48000,NA
3535,8,2,1,1,0,48000,-998
3536,8,2,0,3,0,48000,NA
3537,5,2,0,1,0,25000,28
3538,3,1,0,3,1,23000,16
3539,3,1,0,3,1,10000,26
3540,3,1,0,2,1,10000,27
3541,3,1,0,3,1,6000,NA
3542,7,2,0,3,1,2460,16
3543,7,2,1,1,1,16000,20
3544,7,2,1,4,1,20000,20
3545,7,2,0,3,1,20000,22
3546,7,2,1,2,1,20000,23
3547,7,2,1,2,1,21000,26
3548,7,2,1,1,1,21000,21
3549,5,2,1,3,0,17000,25
3550,1,1,0,1,0,15300,22
3551,5,2,1,1,0,15000,30
3552,5,2,1,1,0,15000,29
3553,1,1,0,1,0,12000,26
3554,5,2,0,1,0,12000,16
3555,5,2,0,1,0,NA,30
3556,5,2,1,1,0,NA,21
3557,5,2,0,2,0,18600,27
3558,5,2,1,3,0,18600,24
3559,1,1,0,1,0,11200,34
3560,5,2,1,4,0,11200,16
3561,1,1,1,4,0,14000,-998
3562,2,1,0,1,0,22000,28
3563,2,1,0,2,0,22000,23
3564,6,2,1,2,0,22000,27
3565,5,2,1,3,0,13500,NA
3566,5,2,1,2,0,18550,23
3567,1,1,1,1,0,21684,19
3568,5,2,NA,NA,0,21684,24
3569,1,1,1,2,0,21684,27
3570,2,1,0,1,0,22556,29
3571,2,1,1,2,0,22556,NA
3572,6,2,1,1,0,22556,NA
3573,5,2,1,2,0,24000,23
3574,5,2,1,2,0,24000,-998
3575,1,1,1,1,0,30000,25
3576,5,2,0,3,0,30000,22
3577,1,1,NA,NA,0,30000,NA
3578,1,1,NA,NA,0,30000,25
3579,1,1,0,3,0,32500,24
3580,1,1,1,2,0,18000,29
3581,1,1,1,1,0,2000,30
3582,1,1,1,2,0,36000,-998
3583,1,1,1,1,0,36000,28
3584,5,2,1,3,0,19000,22
3585,1,1,0,2,0,19000,NA
3586,5,2,0,3,0,7500,26
3587,1,1,1,2,0,12361,28
3588,1,1,0,3,0,12361,32
3589,1,1,0,2,0,31700,28
3590,1,1,NA,NA,0,13500,32
3591,1,1,1,3,0,21000,28
3592,1,1,1,1,0,21000,28
3593,1,1,0,1,0,21000,27
3594,5,2,1,2,0,4015,22
3595,1,1,0,2,0,NA,-998
3596,1,1,0,1,0,NA,NA
3597,5,2,0,2,0,27000,21
3598,1,1,0,1,0,36000,34
3599,1,1,NA,NA,0,36000,NA
3600,1,1,1,2,0,25000,NA
3601,5,2,1,3,0,21500,22
3602,1,1,1,1,0,NA,27
3603,5,2,1,2,0,NA,26
3604,1,1,0,2,0,NA,29
3605,5,2,0,1,0,NA,30
3606,5,2,1,2,0,15000,20
3607,1,1,1,2,0,1060,NA
3608,1,1,1,1,0,29372,-998
3609,5,2,0,3,0,29372,29
3610,5,2,1,2,0,23500,26
3611,5,2,1,1,0,23500,23
3612,1,1,1,2,0,23500,22
3613,5,2,1,3,0,NA,30
3614,6,2,1,2,0,3075,23
3615,1,1,1,2,0,26000,NA
3616,1,1,0,2,0,15050,36
3617,1,1,0,1,0,36900,31
3618,5,2,0,2,0,36900,-998
3619,1,1,1,1,0,40000,38
3620,1,1,1,1,0,18000,32
3621,1,1,0,2,0,25100,NA
3622,1,1,0,4,0,25100,NA
3623,1,1,0,1,0,17500,43
3624,5,2,0,1,0,24000,28
3625,5,2,1,2,0,24000,-998
3626,5,2,1,3,0,NA,27
3627,1,1,0,1,0,7000,28
3628,1,1,1,1,0,9200,24
3629,5,2,0,2,0,45000,-998
3630,5,2,1,2,0,13000,-998
3631,5,2,NA,NA,0,NA,NA
3632,1,1,1,1,0,NA,30
3633,5,2,1,2,0,NA,22
3634,1,1,0,4,0,NA,20
3635,5,2,0,1,0,NA,17
3636,5,2,NA,NA,0,20000,-998
3637,6,2,1,1,0,NA,17
3638,1,1,1,1,0,2997,NA
3639,1,1,0,4,0,15200,20
3640,1,1,0,4,0,15200,18
3641,5,2,1,3,0,3400,NA
3642,1,1,NA,NA,0,11000,NA
3643,5,2,0,1,0,11000,-998
3644,1,1,NA,NA,0,12000,NA
3645,1,1,1,2,0,10500,NA
3646,1,1,NA,NA,0,NA,NA
3647,5,2,0,1,0,30000,15
3648,5,2,0,2,0,7200,20
3649,5,2,0,3,0,7200,19
3650,5,2,1,1,0,21000,21
3651,5,2,1,1,0,16000,22
3652,5,2,0,1,0,NA,18
3653,1,1,1,2,0,15000,NA
3654,5,2,0,2,0,21000,20
3655,5,2,1,1,0,21000,18
3656,1,1,NA,NA,0,17000,NA
3657,2,1,0,2,0,7268,23
3658,2,1,0,2,0,7268,-998
3659,6,2,0,3,0,7268,18
3660,2,1,1,1,0,7268,27
3661,5,2,0,2,0,9000,31
3662,5,2,1,1,0,5600,27
3663,5,2,0,2,0,25000,NA
3664,4,1,1,1,0,4738,NA
3665,2,1,NA,NA,0,4750,NA
3666,4,1,0,2,0,14500,NA
3667,5,2,1,2,0,29000,25
3668,1,1,1,1,0,NA,28
3669,5,2,1,1,0,41000,NA
3670,1,1,NA,NA,0,NA,NA
3671,5,2,NA,NA,0,NA,NA
3672,1,1,1,1,0,NA,NA
3673,1,1,NA,NA,0,NA,NA
3674,5,2,NA,NA,0,50000,NA
3675,1,1,0,3,0,NA,34
3676,1,1,0,2,0,38000,35
3677,5,2,1,1,0,40000,32
3678,5,2,NA,NA,0,NA,NA
3679,5,2,0,2,0,30000,27
3680,1,1,0,1,0,NA,33
3681,5,2,0,1,0,NA,27
3682,5,2,NA,NA,0,40000,NA
3683,5,2,NA,NA,0,NA,NA
3684,5,2,NA,NA,0,NA,NA
3685,1,1,0,3,0,NA,32
3686,1,1,1,2,0,60000,24
3687,5,2,0,2,0,60000,31
3688,5,2,NA,NA,0,NA,NA
3689,1,1,1,1,0,NA,-998
3690,1,1,1,1,0,0,-998
3691,6,2,1,3,0,5000,24
3692,7,2,1,3,1,2050,21
3693,1,1,0,4,0,28000,-998
3694,1,1,0,4,0,19000,26
3695,3,1,0,2,1,21000,18
3696,7,2,NA,NA,1,21000,NA
3697,8,2,1,2,0,10000,20
3698,8,2,1,1,0,12000,NA
3699,7,2,0,3,1,38000,19
3700,4,1,0,3,0,14755,18
3701,4,1,NA,NA,0,10000,NA
3702,4,1,0,3,0,NA,17
3703,7,2,1,4,1,2927,16
3704,7,2,0,4,1,3904,15
3705,5,2,1,2,0,31000,16
3706,1,1,0,1,0,31000,-998
3707,1,1,1,1,0,25000,22
3708,1,1,0,1,0,35000,32
3709,6,2,1,3,0,29000,-998
3710,2,1,1,2,0,29000,33
3711,5,2,1,3,0,NA,NA
3712,1,1,1,1,0,NA,27
3713,2,1,1,2,0,10084,19
3714,6,2,1,1,0,9642,NA
3715,5,2,0,2,0,8571,NA
3716,1,1,1,2,0,25000,26
3717,5,2,0,1,0,25000,15
3718,5,2,1,3,0,25000,18
3719,5,2,0,2,0,4390,23
3720,5,2,1,1,0,21270,NA
3721,1,1,0,2,0,32100,20
3722,1,1,0,2,0,13829,40
3723,1,1,0,4,0,13000,18
3724,1,1,0,2,0,NA,17
3725,5,2,1,2,0,25074,-998
3726,5,2,1,3,0,NA,18
3727,5,2,NA,NA,0,44000,NA
3728,5,2,1,2,0,23000,NA
3729,5,2,1,1,0,NA,18
3730,5,2,1,1,0,22000,-998
3731,1,1,NA,NA,0,10000,NA
3732,1,1,1,1,0,31000,-998
3733,1,1,0,1,0,29000,22
3734,5,2,1,2,0,18800,30
3735,5,2,1,3,0,30000,NA
3736,5,2,1,2,0,21000,31
3737,5,2,1,4,0,21000,35
3738,5,2,0,2,0,22000,19
3739,5,2,1,2,0,24000,32
3740,5,2,0,2,0,24000,24
3741,5,2,1,2,0,24000,25
3742,1,1,0,3,0,17066,29
3743,1,1,1,1,0,29000,NA
3744,5,2,0,1,0,NA,22
3745,1,1,0,1,0,20000,-998
3746,5,2,1,2,0,8500,NA
3747,1,1,NA,NA,0,24000,NA
3748,1,1,0,1,0,7000,19
3749,5,2,0,3,0,7000,-998
3750,1,1,0,3,0,7000,NA
3751,1,1,1,2,0,7000,23
3752,5,2,1,2,0,NA,29
3753,5,2,0,2,0,NA,18
3754,5,2,0,2,0,9540,-998
3755,5,2,0,1,0,18000,-998
3756,5,2,1,1,0,23000,NA
3757,1,1,1,1,0,38000,33
3758,5,2,0,4,0,25000,NA
3759,5,2,NA,NA,0,25000,21
3760,1,1,0,2,0,25000,18
3761,1,1,NA,NA,0,NA,NA
3762,1,1,0,1,0,30000,NA
3763,1,1,0,1,0,NA,40
3764,5,2,1,1,0,NA,-998
3765,1,1,1,2,0,NA,21
3766,2,1,1,1,0,11000,18
3767,6,2,1,2,0,5000,-998
3768,6,2,1,3,0,4856,14
3769,6,2,1,1,0,4035,18
3770,5,2,1,4,0,25500,23
3771,5,2,0,1,0,25500,27
3772,5,2,NA,NA,0,10000,NA
3773,5,2,NA,NA,0,10000,NA
3774,5,2,1,1,0,3500,20
3775,5,2,1,3,0,34000,-998
3776,1,1,0,1,0,34000,21
3777,1,1,1,3,0,NA,19
3778,1,1,NA,NA,0,NA,NA
3779,5,2,1,1,0,NA,19
3780,1,1,0,5,0,21000,21
3781,5,2,1,2,0,50000,30
3782,1,1,NA,NA,0,75001,NA
3783,5,2,0,1,0,19000,28
3784,5,2,0,2,0,6000,18
3785,5,2,NA,NA,0,20000,NA
3786,5,2,0,2,0,NA,32
3787,6,2,0,2,0,7200,23
3788,1,1,NA,NA,0,18500,NA
3789,1,1,0,3,0,13240,38
3790,5,2,1,2,0,13094,26
3791,5,2,0,1,0,18928,21
3792,1,1,0,2,0,35000,30
3793,5,2,0,1,0,23376,26
3794,5,2,0,1,0,30000,27
3795,1,1,1,1,0,27000,31
3796,5,2,0,1,0,5000,-998
3797,5,2,1,3,0,5000,23
3798,5,2,1,1,0,NA,25
3799,5,2,0,1,0,2910,34
3800,5,2,1,2,0,16500,29
3801,1,1,NA,NA,0,15000,NA
3802,5,2,0,1,0,NA,31
3803,1,1,1,1,0,40000,26
3804,5,2,1,1,0,40000,28
3805,1,1,1,2,0,40000,29
3806,5,2,0,1,0,NA,30
3807,1,1,1,1,0,25000,30
3808,1,1,NA,NA,0,35000,NA
3809,5,2,1,2,0,40000,41
3810,1,1,NA,NA,0,45000,NA
3811,1,1,1,3,0,NA,32
3812,5,2,0,2,0,50000,29
3813,5,2,1,2,0,20000,18
3814,5,2,1,1,0,832,35
3815,1,1,1,3,0,50000,-998
3816,1,1,0,1,0,NA,33
3817,5,2,1,1,0,6500,39
3818,1,1,NA,NA,0,22000,40
3819,7,2,0,3,1,9108,21
3820,7,2,NA,NA,1,11550,NA
3821,7,2,0,3,1,5762,23
3822,3,1,0,3,1,5762,-998
3823,7,2,0,3,1,3000,25
3824,7,2,1,2,1,16000,21
3825,3,1,0,3,1,3341,-998
3826,7,2,NA,NA,1,3084,NA
3827,3,1,0,2,1,10000,16
3828,7,2,0,4,1,10000,-998
3829,1,1,0,2,0,24000,24
3830,1,1,0,1,0,21000,18
3831,1,1,NA,NA,0,23000,NA
3832,5,2,1,1,0,23000,NA
3833,1,1,0,2,0,30000,18
3834,5,2,NA,NA,0,30000,NA
3835,5,2,NA,NA,0,2900,NA
3836,5,2,1,2,0,14000,32
3837,5,2,1,1,0,14000,17
3838,1,1,1,2,0,14000,33
3839,5,2,1,1,0,4000,22
3840,3,1,1,3,1,30000,-998
3841,2,1,NA,NA,0,3576,NA
3842,7,2,1,1,1,NA,16
3843,5,2,0,3,0,12500,NA
3844,1,1,1,1,0,12500,27
3845,1,1,0,2,0,25000,-998
3846,5,2,1,3,0,25000,NA
3847,1,1,0,2,0,46000,24
3848,1,1,0,2,0,46000,28
3849,5,2,1,1,0,46000,30
3850,5,2,1,4,0,12000,-998
3851,5,2,1,2,0,12000,19
3852,1,1,1,3,0,12000,-998
3853,8,2,0,3,0,7200,25
3854,1,1,0,2,0,14000,33
3855,5,2,0,2,0,14000,-998
3856,1,1,NA,NA,0,NA,NA
3857,1,1,1,2,0,NA,NA
3858,5,2,NA,NA,0,30000,NA
3859,5,2,1,3,0,NA,31
3860,1,1,1,2,0,30000,29
3861,1,1,1,3,0,32000,-998
3862,1,1,NA,NA,0,18000,NA
3863,1,1,1,1,0,55000,29
3864,6,2,NA,NA,0,7000,NA
3865,1,1,1,2,0,8900,32
3866,2,1,0,3,0,25000,28
3867,5,2,1,2,0,25000,-998
3868,1,1,0,2,0,25000,NA
3869,1,1,NA,NA,0,20000,NA
3870,1,1,1,1,0,NA,NA
3871,1,1,0,1,0,NA,35
3872,5,2,0,3,0,34000,-998
3873,1,1,1,3,0,34000,-998
3874,1,1,0,1,0,42000,NA
3875,1,1,1,3,0,42000,31
3876,5,2,1,3,0,NA,39
3877,5,2,1,3,0,1200,23
3878,1,1,0,1,0,NA,36
3879,5,2,1,2,0,NA,NA
3880,1,1,NA,NA,0,35000,NA
3881,1,1,NA,NA,0,35000,-998
3882,1,1,0,1,0,50000,NA
3883,1,1,1,3,0,50000,-998
3884,1,1,0,2,0,23000,20
3885,1,1,NA,NA,0,31000,NA
3886,1,1,1,4,0,31000,34
3887,1,1,0,1,0,28000,NA
3888,1,1,0,1,0,35000,24
3889,5,2,0,2,0,35000,27
3890,1,1,1,2,0,43000,32
3891,5,2,NA,NA,0,30000,NA
3892,1,1,0,2,0,40000,31
3893,5,2,NA,NA,0,40000,NA
3894,1,1,0,3,0,40000,-998
3895,1,1,1,3,0,45000,25
3896,5,2,0,2,0,40000,-998
3897,5,2,0,1,0,44000,-998
3898,1,1,1,1,0,44000,-998
3899,5,2,1,2,0,20000,25
3900,5,2,1,3,0,20000,-998
3901,1,1,0,2,0,2300,34
3902,1,1,0,1,0,NA,32
3903,5,2,1,1,0,25000,-998
3904,1,1,1,1,0,25000,27
3905,1,1,0,4,0,NA,19
3906,5,2,1,5,0,NA,22
3907,1,1,0,1,0,30000,21
3908,6,2,1,2,0,1300,33
3909,1,1,NA,NA,0,20000,NA
3910,1,1,0,1,0,18500,28
3911,5,2,0,2,0,23000,-998
3912,5,2,0,1,0,1200,-998
3913,5,2,0,2,0,35000,35
3914,5,2,1,2,0,19500,18
3915,5,2,1,3,0,19500,26
3916,2,1,1,3,0,5999,29
3917,1,1,0,2,0,NA,-998
3918,5,2,0,2,0,NA,33
3919,5,2,1,2,0,24500,21
3920,1,1,1,2,0,NA,-998
3921,5,2,0,1,0,NA,22
3922,5,2,1,1,0,42500,23
3923,5,2,1,2,0,43500,26
3924,5,2,1,2,0,43500,33
3925,1,1,1,1,0,NA,22
3926,1,1,1,3,0,NA,34
3927,5,2,1,2,0,NA,17
3928,5,2,0,1,0,NA,20
3929,5,2,0,1,0,25000,18
3930,1,1,1,2,0,25000,NA
3931,7,2,0,4,1,NA,16
3932,3,1,1,3,1,16000,NA
3933,3,1,0,2,1,16000,15
3934,7,2,1,1,1,12000,18
3935,7,2,0,4,1,816,23
3936,7,2,0,4,1,23000,NA
3937,3,1,1,2,1,18000,NA
3938,7,2,1,2,1,18000,-998
3939,7,2,NA,NA,1,4400,NA
3940,7,2,NA,NA,1,4400,NA
3941,3,1,0,2,1,11500,-998
3942,3,1,1,1,1,11000,38
3943,3,1,0,2,1,11000,25
3944,7,2,0,4,1,11000,15
3945,7,2,0,3,1,11000,NA
3946,3,1,0,1,1,11000,25
3947,7,2,NA,NA,1,NA,NA
3948,7,2,1,2,1,3165,15
3949,3,1,0,2,1,5200,39
3950,3,1,1,1,1,15000,NA
3951,3,1,NA,NA,1,30000,NA
3952,7,2,0,3,1,11000,21
3953,7,2,1,2,1,11000,23
3954,3,1,0,1,1,11000,26
3955,3,1,0,3,1,11000,18
3956,3,1,NA,NA,1,20000,NA
3957,3,1,0,1,1,30000,NA
3958,3,1,0,2,1,22880,16
3959,7,2,NA,NA,1,15000,NA
3960,7,2,0,1,1,18000,28
3961,1,1,0,1,0,15000,21
3962,5,2,1,3,0,32000,23
3963,1,1,0,2,0,18000,25
3964,5,2,1,1,0,22000,27
3965,1,1,0,1,0,24700,-998
3966,3,1,1,1,1,8200,30
3967,4,1,1,1,0,40000,26
3968,1,1,0,2,0,7000,-998
3969,5,2,1,1,0,NA,30
3970,5,2,1,2,0,20000,29
3971,1,1,1,2,0,NA,NA
3972,5,2,1,1,0,36000,27
3973,1,1,0,3,0,25000,NA
3974,3,1,0,3,1,25300,NA
3975,7,2,NA,NA,1,11186,NA
3976,3,1,NA,NA,1,11186,NA
3977,7,2,0,3,1,11186,18
3978,7,2,0,2,1,11186,25
3979,1,1,1,1,0,NA,31
3980,1,1,1,2,0,5300,-998
3981,2,1,0,2,0,NA,NA
3982,6,2,1,1,0,NA,20
3983,5,2,NA,NA,0,17000,NA
3984,1,1,1,1,0,24000,NA
3985,1,1,1,1,0,9950,20
3986,5,2,0,1,0,NA,21
3987,3,1,0,1,1,11360,18
3988,7,2,0,3,1,11361,20
3989,1,1,0,1,0,20000,22
3990,1,1,NA,NA,0,13500,NA
3991,5,2,1,1,0,13500,20
3992,5,2,0,2,0,18500,16
3993,5,2,1,2,0,NA,19
3994,1,1,0,2,0,10000,NA
3995,7,2,1,2,1,10000,17
3996,7,2,0,3,1,10000,21
3997,7,2,0,3,1,10000,-998
3998,5,2,0,4,0,1800,23
3999,1,1,0,3,0,12000,NA
4000,1,1,0,2,0,12000,NA
4001,5,2,1,3,0,18000,28
4002,5,2,NA,NA,0,18000,26
4003,5,2,1,3,0,8000,NA
4004,1,1,0,1,0,35000,29
4005,7,2,1,2,1,NA,20
4006,3,1,1,2,1,NA,39
4007,7,2,0,1,1,18000,20
4008,3,1,1,1,1,10000,24
4009,1,1,0,1,0,14400,22
4010,1,1,1,1,0,14621,-998
4011,1,1,0,2,0,3200,33
4012,5,2,0,3,0,20000,19
4013,1,1,0,1,0,22000,25
4014,1,1,0,1,0,22000,31
4015,7,2,0,2,1,10500,19
4016,7,2,1,4,1,NA,17
4017,7,2,0,1,1,450,-998
4018,1,1,NA,NA,0,8000,23
4019,5,2,1,2,0,10000,27
